,China,Trump,StayHome,Vaccine,Ventilator,ICU,Flight,Isolation,Border,SARS
2020-03-03,3430,3095,1,792,12,0,579,817,155,192
2020-03-04,5226,2688,8,949,3,0,322,1077,381,407
2020-03-05,3499,1578,9,396,21,0,1297,1575,84,80
2020-03-06,4161,1160,6,332,4,0,373,1611,119,77
2020-03-07,2533,4686,7,392,6,0,358,1631,59,63
2020-03-08,3308,2837,1,167,14,0,427,2220,40,61
2020-03-09,5271,5393,5,292,4,0,273,1263,30,46
2020-03-10,1956,5888,12,134,3,0,286,1049,103,25
2020-03-11,1647,2344,22,290,3,0,358,1024,123,26
2020-03-12,1394,7746,28,118,23,0,659,835,82,24
2020-03-13,1818,2172,19,162,38,0,772,740,36,36
2020-03-14,5895,3418,11,170,47,0,135,585,130,13
2020-03-15,3836,2543,1,332,15,0,393,978,218,26
2020-03-16,2553,2496,19,456,154,0,193,941,91,40
2020-03-17,2072,5373,6,775,82,0,115,1178,142,135
2020-03-18,2027,2165,8,240,95,0,664,1621,231,104
2020-03-19,3673,2360,19,482,67,0,294,878,186,53
2020-03-20,2878,2972,11,403,70,0,295,1067,91,24
2020-03-21,3439,2797,9,159,101,0,139,796,198,24
2020-03-22,1971,2796,5,248,142,0,402,1018,212,20
2020-03-23,1872,1782,0,279,69,0,143,1084,171,32
2020-03-24,2159,5330,4,192,89,0,197,1181,71,22
2020-03-25,2806,2766,8,236,289,0,218,1502,147,28
2020-03-26,2857,3602,7,290,218,0,138,1268,127,24
2020-03-27,4077,4039,5,325,284,0,130,861,271,58
2020-03-28,1529,3291,3,145,414,0,117,756,266,44
2020-03-29,1983,2344,0,170,273,0,97,1440,116,39
2020-03-30,3171,4323,1,150,133,0,332,818,68,28
2020-03-31,1635,3523,4,380,383,0,164,1255,220,53
2020-04-01,2004,3970,2,219,296,0,223,936,45,23
2020-04-02,2613,4542,2,378,228,0,164,749,39,22
2020-04-03,2015,3329,1,447,143,0,160,676,106,31
2020-04-04,2245,2907,0,319,92,0,354,841,67,37
2020-04-05,1937,4141,4,647,400,0,112,733,55,130
2020-04-06,2132,3156,3,379,88,0,324,532,83,14
2020-04-07,3763,2764,0,506,108,0,128,616,121,21
2020-04-08,2440,4400,5,430,75,0,177,567,38,20
2020-04-09,3092,1529,2,377,158,0,104,623,86,50
2020-04-10,2306,2387,3,515,105,0,74,601,66,24
2020-04-11,3291,2381,0,545,112,0,117,522,178,34
2020-04-12,4577,1860,5,662,123,0,222,1178,66,36
2020-04-13,3274,2000,4,588,96,0,130,848,47,78
2020-04-14,1910,3762,3,520,49,0,130,597,78,28
2020-04-15,4383,7721,7,490,171,0,184,525,76,48
2020-04-16,4544,2347,6,456,120,0,216,576,59,102
2020-04-17,5485,3275,4,912,137,0,182,494,281,49
2020-04-18,7389,2630,1,588,76,0,100,395,55,63
2020-04-19,2713,3061,1,644,54,0,74,406,152,30
2020-04-20,3755,4340,4,767,68,0,104,757,60,31
2020-04-21,2835,6294,1,334,100,0,138,640,109,24
2020-04-22,2354,4041,2,1364,84,0,212,567,95,37
2020-04-23,1954,3641,3,1089,143,0,127,751,100,24
2020-04-24,1888,5377,3,1009,102,0,215,712,159,18
2020-04-25,2170,2840,4,846,51,0,134,770,57,15
2020-04-26,3179,6186,2,885,442,0,104,514,96,24
2020-04-27,2815,2079,0,900,94,0,189,648,44,34
2020-04-28,1791,2466,0,3303,94,0,185,600,149,83
2020-04-29,1230,1963,0,1739,717,0,112,960,204,111
2020-04-30,1521,1543,7,712,150,0,104,730,104,45
2020-05-01,1617,3367,10,837,157,0,98,465,82,41
2020-05-02,2132,2046,9,481,34,0,123,610,71,28
2020-05-03,1825,1371,2,812,66,0,910,669,121,29
2020-05-04,2817,1840,15,899,50,0,274,511,69,83
2020-05-05,2880,6198,7,610,44,0,160,472,36,242
2020-05-06,1681,3784,4,988,22,0,142,457,126,109
2020-05-07,1595,2708,1,786,76,0,139,738,69,104
2020-05-08,2050,4502,7,762,138,0,270,628,74,58
2020-05-09,2463,2934,14,786,119,0,188,614,96,48
2020-05-10,1672,2535,5,677,463,0,212,910,78,33
2020-05-11,1586,2226,3,402,133,0,200,889,108,32
2020-05-12,1636,3142,6,679,100,0,204,906,312,30
2020-05-13,1246,1244,7,830,50,0,171,545,524,36
2020-05-14,1769,4711,9,999,91,0,100,891,199,22
2020-05-15,1900,2405,2,1016,39,0,201,500,121,132
2020-05-16,2089,2354,8,1250,110,0,113,674,143,27
2020-05-17,1558,1261,4,986,46,0,158,1032,119,36
2020-05-18,2943,1292,2,935,64,0,129,1207,645,30
2020-05-19,2568,2985,6,1623,14,0,110,731,126,85
2020-05-20,1834,6492,3,1131,17,0,238,560,182,94
2020-05-21,1647,1863,5,911,29,0,178,1475,96,64
2020-05-22,5246,2086,4,810,25,0,143,1080,203,34
2020-05-23,2452,2170,6,2720,66,0,179,1393,184,14
2020-05-24,1821,2543,5,950,25,0,253,1414,64,28
2020-05-25,1878,2475,3,664,16,0,364,918,76,16
2020-05-26,1500,1011,2,1633,75,0,526,1000,327,73
2020-05-27,2609,1335,3,1207,58,0,545,605,147,83
2020-05-28,1706,930,9,635,61,0,326,467,116,19